Local time,Open,High,Low,Close,Volume
04.06.2018 00:00:00.000 GMT-0700,1.16835,1.17148,1.16753,1.16965,18831.3906
04.06.2018 01:00:00.000 GMT-0700,1.16964,1.17179,1.16842,1.17097,17289.9707
04.06.2018 02:00:00.000 GMT-0700,1.17097,1.17338,1.17077,1.17294,18315.7598
04.06.2018 03:00:00.000 GMT-0700,1.17294,1.17372,1.17200,1.17216,15757.21
04.06.2018 04:00:00.000 GMT-0700,1.17217,1.17379,1.17201,1.17373,12511.9199
04.06.2018 05:00:00.000 GMT-0700,1.17373,1.17444,1.17153,1.17157,15908.79
04.06.2018 06:00:00.000 GMT-0700,1.17156,1.17234,1.17059,1.17168,15737.3398
04.06.2018 07:00:00.000 GMT-0700,1.17169,1.17252,1.16919,1.16972,17062.4102
04.06.2018 08:00:00.000 GMT-0700,1.16971,1.17018,1.16772,1.16950,14413.7002
04.06.2018 09:00:00.000 GMT-0700,1.16950,1.16974,1.16838,1.16853,9574.5898
04.06.2018 10:00:00.000 GMT-0700,1.16853,1.16987,1.16853,1.16987,7250.4702
04.06.2018 11:00:00.000 GMT-0700,1.16985,1.17022,1.16929,1.16983,7549.8599
04.06.2018 12:00:00.000 GMT-0700,1.16983,1.16993,1.16941,1.16964,4961.48
04.06.2018 13:00:00.000 GMT-0700,1.16963,1.16988,1.16932,1.16982,3500.0901
04.06.2018 14:00:00.000 GMT-0700,1.16984,1.17019,1.16925,1.16963,3572.1001
04.06.2018 15:00:00.000 GMT-0700,1.16961,1.16996,1.16961,1.16991,2997.79
04.06.2018 16:00:00.000 GMT-0700,1.16991,1.17009,1.16950,1.17000,4382.9502
04.06.2018 17:00:00.000 GMT-0700,1.17000,1.17033,1.16927,1.16936,6470.1602
04.06.2018 18:00:00.000 GMT-0700,1.16936,1.16975,1.16884,1.16941,7076.6001
04.06.2018 19:00:00.000 GMT-0700,1.16941,1.16950,1.16870,1.16902,5709.1001
04.06.2018 20:00:00.000 GMT-0700,1.16901,1.16955,1.16893,1.16905,4229.02
04.06.2018 21:00:00.000 GMT-0700,1.16906,1.16915,1.16860,1.16866,5275.25
04.06.2018 22:00:00.000 GMT-0700,1.16866,1.16915,1.16833,1.16910,7151.7202
04.06.2018 23:00:00.000 GMT-0700,1.16910,1.17059,1.16837,1.17042,12739.3398
05.06.2018 00:00:00.000 GMT-0700,1.17041,1.17081,1.16855,1.16951,15391.54
05.06.2018 01:00:00.000 GMT-0700,1.16954,1.17166,1.16911,1.17047,16349.2803
05.06.2018 02:00:00.000 GMT-0700,1.17046,1.17063,1.16922,1.17023,14825.4004
05.06.2018 03:00:00.000 GMT-0700,1.17023,1.17027,1.16762,1.16780,14107.3496
05.06.2018 04:00:00.000 GMT-0700,1.16782,1.16866,1.16763,1.16825,11172.6396
05.06.2018 05:00:00.000 GMT-0700,1.16823,1.16877,1.16620,1.16662,17590.3398
05.06.2018 06:00:00.000 GMT-0700,1.16661,1.16751,1.16590,1.16672,15590.2598
05.06.2018 07:00:00.000 GMT-0700,1.16676,1.16711,1.16525,1.16674,15877.7803
05.06.2018 08:00:00.000 GMT-0700,1.16680,1.16829,1.16644,1.16720,17163.2793
05.06.2018 09:00:00.000 GMT-0700,1.16720,1.17272,1.16688,1.17150,20284.1602
